Word,Dot_product,Location_fan,Model_seed,n_epochs,List
bioscoop,0.414440393447876,True,23,65,9
basiliek,1.4302068948745728,True,23,65,9
supermarkt,1.0693843364715576,True,23,65,9
crypte,0.8151863813400269,True,23,65,9
caravan,1.1282458305358887,True,23,65,9
gehucht,1.9528056383132935,True,23,65,9
dorp,0.6183776259422302,True,23,65,9
filmhuis,1.0762914419174194,True,23,65,9
tram,1.1088719367980957,True,23,65,9
firma,1.454386830329895,True,23,65,9
stadje,0.7717992663383484,True,23,65,9
trein,0.8842167258262634,True,23,65,9
gieterij,1.6655199527740479,True,23,65,9
bus,1.037527084350586,True,23,65,9
hut,0.976456880569458,True,23,65,9
camper,0.8623214364051819,True,40,65,9
tent,1.2280595302581787,True,40,65,9
metro,1.3316172361373901,True,40,65,9
plaatsje,1.259260654449463,True,40,65,9
theater,1.5758064985275269,True,40,65,9
cinema,1.9091122150421143,True,40,65,9
warenhuis,0.7016134262084961,True,40,65,9
greppel,1.730743169784546,True,40,65,9
afgrond,0.9021483063697815,True,40,65,9
bioscoop,0.16806255280971527,True,40,65,9
basiliek,1.9348112344741821,True,40,65,9
supermarkt,1.4366049766540527,True,40,65,9
crypte,1.2653567790985107,True,40,65,9
caravan,1.2430773973464966,True,40,65,9
gehucht,0.8295345306396484,True,40,65,9
dorp,0.747665286064148,True,40,65,9
filmhuis,1.3629369735717773,True,40,65,9
tram,1.42818284034729,True,40,65,9
firma,1.178029179573059,True,40,65,9
stadje,1.7808808088302612,True,40,65,9
trein,0.20743143558502197,True,40,65,9
gieterij,2.667083263397217,True,40,65,9
bus,0.9432621002197266,True,40,65,9
hut,1.1814783811569214,True,40,65,9
camper,0.6123021841049194,True,50,65,9
tent,1.4166613817214966,True,50,65,9
metro,1.9344828128814697,True,50,65,9
plaatsje,0.9227306842803955,True,50,65,9
theater,1.231380820274353,True,50,65,9
cinema,1.3111035823822021,True,50,65,9
warenhuis,1.8116093873977661,True,50,65,9
greppel,1.215086817741394,True,50,65,9
afgrond,1.4354944229125977,True,50,65,9
bioscoop,1.0503884553909302,True,50,65,9
basiliek,0.9112620949745178,True,50,65,9
supermarkt,0.6081206798553467,True,50,65,9
crypte,2.1419291496276855,True,50,65,9
caravan,1.2350293397903442,True,50,65,9
gehucht,1.3733175992965698,True,50,65,9
dorp,0.3883151412010193,True,50,65,9
filmhuis,1.0361125469207764,True,50,65,9
tram,0.9171597361564636,True,50,65,9
firma,1.5423521995544434,True,50,65,9
stadje,0.9133216142654419,True,50,65,9
trein,0.8290055990219116,True,50,65,9
gieterij,1.5990616083145142,True,50,65,9
bus,0.2713794410228729,True,50,65,9
hut,1.1386078596115112,True,50,65,9
huis,0.751795768737793,True,23,65,11
tent,0.8103484511375427,True,23,65,11
campus,1.8285247087478638,True,23,65,11
plaatsje,0.33740168809890747,True,23,65,11
appartement,0.8769386410713196,True,23,65,11
bus,1.0429245233535767,True,23,65,11
bioscoop,0.7948263883590698,True,23,65,11
stadje,0.3894040584564209,True,23,65,11
woning,1.9969074726104736,True,23,65,11
theater,0.8437357544898987,True,23,65,11
caravan,1.7181391716003418,True,23,65,11
pand,0.9491286277770996,True,23,65,11
heiligdom,0.7591591477394104,True,23,65,11
tram,1.7426103353500366,True,23,65,11
tempel,1.4309024810791016,True,23,65,11
universiteit,0.6571224927902222,True,23,65,11
moskee,1.107112169265747,True,23,65,11
synagoge,2.253157377243042,True,23,65,11
dorp,0.7130246758460999,True,23,65,11
hogeschool,1.4532654285430908,True,23,65,11
boetiek,1.6146234273910522,True,23,65,11
gehucht,0.7738646268844604,True,23,65,11
warenhuis,1.0976775884628296,True,23,65,11
huis,0.832935094833374,True,40,65,11
tent,1.0269519090652466,True,40,65,11
campus,1.4447460174560547,True,40,65,11
plaatsje,1.3221979141235352,True,40,65,11
appartement,2.375091552734375,True,40,65,11
bus,1.4933513402938843,True,40,65,11
bioscoop,0.8071548342704773,True,40,65,11
stadje,1.5688031911849976,True,40,65,11
woning,0.8146027326583862,True,40,65,11
theater,1.0993789434432983,True,40,65,11
caravan,1.7051527500152588,True,40,65,11
pand,1.2972112894058228,True,40,65,11
heiligdom,1.0394723415374756,True,40,65,11
tram,1.985724925994873,True,40,65,11
universiteit,0.5082917809486389,True,40,65,11
moskee,1.0054333209991455,True,40,65,11
synagoge,1.916595220565796,True,40,65,11
faculteit,1.4143134355545044,True,40,65,11
dorp,0.5328142642974854,True,40,65,11
hogeschool,0.32313239574432373,True,40,65,11
boetiek,2.353330373764038,True,40,65,11
gehucht,1.876948356628418,True,40,65,11
warenhuis,1.1260734796524048,True,40,65,11
huis,0.39983057975769043,True,50,65,11
tent,1.4557911157608032,True,50,65,11
campus,1.7854403257369995,True,50,65,11
plaatsje,1.0398006439208984,True,50,65,11
appartement,1.5935916900634766,True,50,65,11
bus,1.1067166328430176,True,50,65,11
bioscoop,1.5112470388412476,True,50,65,11
stadje,0.6408615112304688,True,50,65,11
woning,1.1441824436187744,True,50,65,11
theater,1.2285524606704712,True,50,65,11
caravan,1.0534155368804932,True,50,65,11
pand,0.7546319365501404,True,50,65,11
heiligdom,2.129246473312378,True,50,65,11
tram,0.6182049512863159,True,50,65,11
tempel,1.5557680130004883,True,50,65,11
universiteit,1.1760374307632446,True,50,65,11
moskee,0.880101203918457,True,50,65,11
synagoge,1.0800647735595703,True,50,65,11
faculteit,1.4546204805374146,True,50,65,11
dorp,0.8115394115447998,True,50,65,11
hogeschool,1.1940386295318604,True,50,65,11
boetiek,1.4163248538970947,True,50,65,11
gehucht,1.3677797317504883,True,50,65,11
warenhuis,1.4712581634521484,True,50,65,11
ravijn,1.130672574043274,True,23,65,13
bulldozer,1.644126057624817,True,23,65,13
kapel,1.8095154762268066,True,23,65,13
dorp,0.03706885874271393,True,23,65,13
greppel,0.7873164415359497,True,23,65,13
sacristie,1.4007437229156494,True,23,65,13
firma,0.9668757319450378,True,23,65,13
plaatsje,1.7119910717010498,True,23,65,13
tuin,1.7369399070739746,True,23,65,13
gehucht,0.9041455388069153,True,23,65,13
truck,1.533887505531311,True,23,65,13
stadje,0.8730679750442505,True,23,65,13
terras,2.1322362422943115,True,23,65,13
fabriek,1.8590261936187744,True,23,65,13
universiteit,1.0948259830474854,True,23,65,13
boetiek,1.1562165021896362,True,23,65,13
crypte,2.250021457672119,True,23,65,13
plantenkas,1.0518180131912231,True,23,65,13
hogeschool,1.1603130102157593,True,23,65,13
campus,1.6151758432388306,True,23,65,13
serre,1.1979480981826782,True,23,65,13
basiliek,1.1262210607528687,True,23,65,13
winkel,0.8631750345230103,True,23,65,13
ravijn,1.2631871700286865,True,40,65,13
bulldozer,0.778529942035675,True,40,65,13
kapel,0.6510297060012817,True,40,65,13
dorp,0.8206361532211304,True,40,65,13
greppel,1.8334797620773315,True,40,65,13
sacristie,1.5981076955795288,True,40,65,13
firma,0.8718793988227844,True,40,65,13
plaatsje,1.2906160354614258,True,40,65,13
tuin,0.5953955054283142,True,40,65,13
gehucht,1.0628470182418823,True,40,65,13
truck,1.734768271446228,True,40,65,13
stadje,0.80961674451828,True,40,65,13
faculteit,0.9816812872886658,True,40,65,13
terras,1.84828782081604,True,40,65,13
fabriek,0.904233455657959,True,40,65,13
universiteit,0.43616366386413574,True,40,65,13
boetiek,1.1301454305648804,True,40,65,13
crypte,1.8563170433044434,True,40,65,13
plantenkas,0.9320391416549683,True,40,65,13
hogeschool,2.3037188053131104,True,40,65,13
campus,0.5041726231575012,True,40,65,13
serre,1.2350467443466187,True,40,65,13
basiliek,1.5621192455291748,True,40,65,13
winkel,1.0442603826522827,True,40,65,13
ravijn,0.6448318362236023,True,50,65,13
bulldozer,1.7996203899383545,True,50,65,13
kapel,1.1238055229187012,True,50,65,13
dorp,1.1528408527374268,True,50,65,13
greppel,2.2415804862976074,True,50,65,13
sacristie,1.224411129951477,True,50,65,13
firma,1.6012173891067505,True,50,65,13
plaatsje,0.8196789026260376,True,50,65,13
tuin,0.7977775931358337,True,50,65,13
gehucht,1.4635014533996582,True,50,65,13
truck,0.96329665184021,True,50,65,13
faculteit,1.8106313943862915,True,50,65,13
terras,1.8058662414550781,True,50,65,13
fabriek,1.3991271257400513,True,50,65,13
universiteit,0.7065194845199585,True,50,65,13
boetiek,0.9292438626289368,True,50,65,13
crypte,1.061254620552063,True,50,65,13
plantenkas,1.370581865310669,True,50,65,13
hogeschool,1.5759636163711548,True,50,65,13
campus,0.988770604133606,True,50,65,13
serre,1.4672106504440308,True,50,65,13
basiliek,1.34615159034729,True,50,65,13
winkel,1.473323941230774,True,50,65,13
universiteit,0.42795878648757935,True,23,65,15
firma,1.4416583776474,True,23,65,15
hogeschool,2.032764434814453,True,23,65,15
afgrond,0.37790796160697937,True,23,65,15
campus,1.0611481666564941,True,23,65,15
tent,2.1253957748413086,True,23,65,15
stadje,0.8061084747314453,True,23,65,15
greppel,2.2632648944854736,True,23,65,15
hut,2.016627311706543,True,23,65,15
trein,0.7355539202690125,True,23,65,15
gehucht,1.6065391302108765,True,23,65,15
faculteit,0.7777209281921387,True,23,65,15
dorp,-0.40677154064178467,True,23,65,15
gieterij,1.5521289110183716,True,23,65,15
bioscoop,2.016836166381836,True,23,65,15
fabriek,1.0980775356292725,True,23,65,15
tram,0.792621374130249,True,23,65,15
plaatsje,1.1378039121627808,True,23,65,15
tempel,2.2631022930145264,True,23,65,15
cinema,1.505462884902954,True,23,65,15
bus,1.689440369606018,True,23,65,15
montagehal,1.3955426216125488,True,23,65,15
moskee,1.12517511844635,True,23,65,15
metro,1.03614342212677,True,23,65,15
universiteit,0.7066687345504761,True,40,65,15
firma,0.9260759949684143,True,40,65,15
hogeschool,1.067408800125122,True,40,65,15
afgrond,2.307727336883545,True,40,65,15
campus,2.0767953395843506,True,40,65,15
tent,1.5358914136886597,True,40,65,15
stadje,0.817257821559906,True,40,65,15
greppel,1.8995685577392578,True,40,65,15
hut,0.552500307559967,True,40,65,15
trein,0.6844927072525024,True,40,65,15
gehucht,1.9961833953857422,True,40,65,15
faculteit,1.6745059490203857,True,40,65,15
dorp,0.20282311737537384,True,40,65,15
gieterij,1.7130818367004395,True,40,65,15
bioscoop,1.2378485202789307,True,40,65,15
fabriek,0.4232727885246277,True,40,65,15
tram,0.8132741451263428,True,40,65,15
plaatsje,0.8946354389190674,True,40,65,15
tempel,1.5730680227279663,True,40,65,15
cinema,2.3985133171081543,True,40,65,15
bus,0.23182690143585205,True,40,65,15
montagehal,1.487276554107666,True,40,65,15
moskee,2.5205647945404053,True,40,65,15
metro,1.3000260591506958,True,40,65,15
universiteit,0.5809857249259949,True,50,65,15
firma,1.077820062637329,True,50,65,15
hogeschool,1.639890432357788,True,50,65,15
afgrond,1.5246384143829346,True,50,65,15
campus,2.1827518939971924,True,50,65,15
tent,1.022436499595642,True,50,65,15
stadje,0.9911852478981018,True,50,65,15
greppel,1.227953314781189,True,50,65,15
hut,0.8431559205055237,True,50,65,15
trein,0.9992626309394836,True,50,65,15
gehucht,1.5062971115112305,True,50,65,15
dorp,0.6760620474815369,True,50,65,15
gieterij,1.8607443571090698,True,50,65,15
bioscoop,1.6552456617355347,True,50,65,15
fabriek,0.7805091738700867,True,50,65,15
tram,0.5496114492416382,True,50,65,15
plaatsje,0.7077668309211731,True,50,65,15
tempel,1.459909439086914,True,50,65,15
cinema,1.8635952472686768,True,50,65,15
bus,0.7728006839752197,True,50,65,15
montagehal,1.0681089162826538,True,50,65,15
moskee,1.3481314182281494,True,50,65,15
metro,1.4873592853546143,True,50,65,15
campus,1.2483493089675903,True,23,65,17
boetiek,1.2298531532287598,True,23,65,17
tempel,1.1087502241134644,True,23,65,17
gieterij,0.5594743490219116,True,23,65,17
afgrond,0.9948461055755615,True,23,65,17
trein,0.7741968631744385,True,23,65,17
camper,1.1511635780334473,True,23,65,17
caravan,1.7602043151855469,True,23,65,17
tram,1.7208797931671143,True,23,65,17
duinen,0.8502168655395508,True,23,65,17
firma,1.737526774406433,True,23,65,17
universiteit,0.3996693789958954,True,23,65,17
tent,0.7990924715995789,True,23,65,17
hut,1.3535712957382202,True,23,65,17
warenhuis,2.143400192260742,True,23,65,17
montagehal,1.0345715284347534,True,23,65,17
fabriek,0.7849639654159546,True,23,65,17
kloof,2.5912907123565674,True,23,65,17
metro,2.6096134185791016,True,23,65,17
winkel,1.5341689586639404,True,23,65,17
supermarkt,1.7303434610366821,True,23,65,17
heiligdom,1.8748337030410767,True,23,65,17
bus,0.7409778237342834,True,23,65,17
bos,0.8939272165298462,True,23,65,17
campus,0.8746500611305237,True,40,65,17
boetiek,1.1154297590255737,True,40,65,17
tempel,1.3211569786071777,True,40,65,17
gieterij,1.8022230863571167,True,40,65,17
afgrond,2.8971619606018066,True,40,65,17
trein,1.1887180805206299,True,40,65,17
camper,1.0818758010864258,True,40,65,17
caravan,1.446021556854248,True,40,65,17
tram,0.6129302382469177,True,40,65,17
duinen,1.6543487310409546,True,40,65,17
firma,1.295768141746521,True,40,65,17
universiteit,1.5017344951629639,True,40,65,17
tent,0.6719502210617065,True,40,65,17
hut,1.1543805599212646,True,40,65,17
warenhuis,1.3938053846359253,True,40,65,17
montagehal,0.8228703141212463,True,40,65,17
fabriek,0.879919171333313,True,40,65,17
kloof,1.8031443357467651,True,40,65,17
metro,1.471266746520996,True,40,65,17
winkel,1.6714991331100464,True,40,65,17
supermarkt,0.47379016876220703,True,40,65,17
heiligdom,2.3444435596466064,True,40,65,17
